id,hip,hd,hr,gl,bf,proper,dist,mag,absmag,spect,ci,x,y,z,bayer,flam,con,comp,comp_primary,base,lum,var
1719,63613,112985,4923,,Del Mus,,27.8707,3.61,1.384,K2III,1.19,-8.497455,-2.367379,-26.438289,Del,,Mus,1,63411,,24.34445184,
1720,63724,113314,4933,,Xi 1Cen,,67.6133,4.83,0.68,A0V,0.029,-42.210157,-12.01494,-51.434446,Xi-1,,Cen,1,63521,,46.55860935,
1721,63750,113459,4937,,48    Vir,,155.0388,6.62,0.668,F0V,0.296,-148.745695,-42.586821,-9.905487,,48,Vir,1,63547,,47.07604833,
1722,63901,113797,4943,,14    CVn,,104.3841,5.2,0.107,B9V,-0.059,-81.203956,-23.953765,61.058585,,14,CVn,1,63698,,78.92234848,
1723,63948,113848,4946,,39    Com,,49.6771,6,2.519,F4V,0.393,-44.401498,-13.226958,17.926786,,39,Com,1,63745,,8.558546212,
1724,63950,113866,4949,Gl 499.1,40    Com,,225.7336,5.53,-1.238,M5III,1.461,-199.696521,-59.510028,86.807221,,40,Com,1,63747,,272.3955447,FS
1725,64004,113791,4942,,Xi 2Cen,,143.2665,4.27,-1.511,B1.5V,-0.182,-88.364964,-26.557271,-109.597766,Xi-2,,Cen,1,63801,,350.2676269,
1726,64022,113996,4954,,41    Com,,101.626,4.8,-0.235,K5III,1.482,-86.200274,-26.016708,47.121741,,41,Com,1,63819,,108.1433951,
1727,64078,114038,4955,,49    Vir,,94.2507,5.15,0.279,K2III,1.138,-88.565516,-27.033624,-17.564504,,49,Vir,1,63875,,67.35967762,
1728,64094,113904,4952,,The Mus,,100000,5.44,-14.56,WC6 + O9.5I,-0.033,-39945.33639,-12235.23442,-90855.20948,The,,Mus,1,63891,,58076441.75,The
1729,64166,114149,4958,,45Psi Hya,,70.9723,4.94,0.685,K0III,1.048,-62.332323,-19.370955,-27.865588,Psi,45,Hya,1,63963,,46.34469197,
1730,64217,114376,4967,,15    CVn,,370.3704,6.25,-1.593,B7III,-0.098,-276.423002,-86.758876,230.732345,,15,CVn,1,64014,,377.7461094,
1731,64224,114287,4961,,50    Vir,,212.766,5.95,-0.69,K5III,1.49,-199.697127,-62.729311,-38.150164,,50,Vir,1,64021,,164.4371723,
1732,64238,114330,4963,,51The Vir,,96.8054,4.38,-0.549,A1V,-0.008,-91.90017,-28.953908,-9.343987,The,51,Vir,1,64034,,144.4109084,
1733,64241,114378,4968,Gl 501A,42Alp Com,Diadem,17.8253,4.32,3.065,F5V,0.455,-16.211012,-5.110375,5.368871,Alp,42,Com,1,64037,Gl 501,5.17606832,
1734,64246,114447,4971,,17    CVn,,63.2911,5.91,1.903,A9III-IV,0.294,-47.236707,-14.905822,39.398664,,17,CVn,1,64042,,15.09384897,
1735,64394,114710,4983,Gl 502,43Bet Com,,9.1291,4.23,4.428,G0V,0.572,-7.676072,-2.489414,4.268726,Bet,43,Com,1,64189,,1.475027102,
1736,64407,114642,4981,,53    Vir,,33.9098,5.04,2.388,F6V,0.46,-30.967114,-10.070647,-9.459703,,53,Vir,1,64203,,9.656060985,
